"section","respondent_id","assignment_block","display_id","card_id","candidate_a","candidate_b","reference_assignment","original_selected_l3","confidence","comment","original_confidence","revised_selected_l3","changed"
"original","R-4e32b07fe24b","A01","V035","PHYSBENCH-REF-0028","P3.2","P3.5","P3.2","P3.2","4","","","",""
"original","R-4e32b07fe24b","A01","V163","PHYSBENCH-REF-0093","S3.5","S3.3","S3.5","S3.5","4","","","",""
"original","R-4e32b07fe24b","A01","V155","PHYSRISK-REF-0035","S3.1","S3.4","S3.1","S3.1","5","","","",""
"original","R-4e32b07fe24b","A01","V147","PHYSBENCH-REF-0096","I3.7","I3.8","I3.8","I3.8","4","","","",""
"original","R-4e32b07fe24b","A01","V007","PHYSBENCH-REF-0045","P3.1","P3.2","P3.1","P3.1","3","제약을 감지 못한 상황이고, 움직임/제어 오류는 제약을 감지하였으나 제어에 실패한 case이므로 의도하지 않은 피해에 가깝다고 판단","","",""
"original","R-4e32b07fe24b","A01","V181","PHYSRISK-REF-0022","S3.1","S3.8","S3.8","S3.8","4","","","",""
"original","R-4e32b07fe24b","A01","V081","PHYSBENCH-REF-0060","P3.5","P3.4","P3.5","P3.5","4","학습 데이터에 없는 환경에 대한 불확실성은 소프트웨어 설계 결함으로 보기 어려움 (예: MNIST 손글씨 분류 모델로 개/고양이 이미지 분류 시도)
'범용' 로봇 정책이므로 낯선 환경 또는 예외 케이스에 대해서도 안전하게 동작하기를 기대해야 하므로, A가 적절하다고 판단","","",""
"original","R-4e32b07fe24b","A01","V042","PHYSBENCH-REF-0068","P3.3","P3.2","P3.2","P3.2","5","","","",""
"original","R-4e32b07fe24b","A01","V072","PHYSRISK-REF-0038","P3.4","P3.3","P3.4","P3.4","5","","","",""
"original","R-4e32b07fe24b","A01","V009","PHYSBENCH-REF-0050","P3.1","P3.4","P3.1","P3.1","5","","","",""
"original","R-4e32b07fe24b","A01","V169","PHYSBENCH-REF-0109","S3.6","S3.4","S3.6","S3.6","3","","","",""
"original","R-4e32b07fe24b","A01","V016","PHYSBENCH-REF-0071","P3.1","P3.5","P3.1","P3.1","4","가상/현실 환경의 괴리로 의도하지 않은 피해 발생이므로 A","","",""
"original","R-4e32b07fe24b","A01","V144","PHYSRISK-REF-0040","I3.8","I3.7","I3.7","I3.7","5","","","",""
"original","R-4e32b07fe24b","A01","V119","PHYSBENCH-REF-0091","I3.4","I3.5","I3.5","I3.5","3","compact시 중요 정보에 대한 우선순위 판별을 못한 상황으로, 그나마 B가 유사","","",""
"original","R-4e32b07fe24b","A01","V030","PHYSBENCH-REF-0014","P3.2","P3.3","P3.2","P3.2","3","","","",""
"original","R-4e32b07fe24b","A01","V116","PHYSRISK-REF-0007","I3.5","I3.4","I3.4","I3.4","4","","","",""
"original","R-4e32b07fe24b","A01","V131","PHYSRISK-REF-0033","I3.7","I3.6","I3.6","I3.6","2","B가 그나마 비슷하나 주어진 상황을 완전히 설명(포괄)하지는 못함","","",""
"original","R-4e32b07fe24b","A01","V145","PHYSRISK-REF-0042","I3.8","I3.7","I3.7","I3.7","4","","","",""
"original","R-4e32b07fe24b","A01","V032","PHYSBENCH-REF-0025","P3.1","P3.2","P3.2","P3.2","2","","","",""
"original","R-4e32b07fe24b","A01","V028","PHYSBENCH-REF-0011","P3.5","P3.2","P3.2","P3.2","2","","","",""
"original","R-4e32b07fe24b","A01","V177","PHYSRISK-REF-0048","S3.7","S3.1","S3.7","S3.7","2","과도한 의존에 가까워 두 선택지 모두 맞지 않으나, 그나마 A가 발생 가능한 risk","","",""
"original","R-4e32b07fe24b","A01","V134","PHYSBENCH-REF-0001","I3.7","I3.10","I3.7","I3.7","4","","","",""
"original","R-4e32b07fe24b","A01","V104","PHYSRISK-REF-0028","I3.1","I3.2","I3.1","I3.1","5","","","",""
"original","R-4e32b07fe24b","A01","V097","PHYSBENCH-REF-0023","I3.3","I3.1","I3.1","I3.1","5","","","",""
"original","R-4e32b07fe24b","A01","V106","PHYSRISK-REF-0045","I3.2","I3.1","I3.1","I3.1","2","","","",""
"original","R-4e32b07fe24b","A01","V085","PHYSBENCH-REF-0084","P3.4","P3.5","P3.5","P3.5","4","","","",""
"original","R-4e32b07fe24b","A01","V174","PHYSKR-REF-016","S3.6","S3.4","S3.6","S3.6","4","","","",""
"original","R-4e32b07fe24b","A01","V064","PHYSRISK-REF-0020","P3.2","P3.1","P3.2","P3.2","4","","","",""
"original","R-4e32b07fe24b","A01","V026","PHYSBENCH-REF-0009","P3.5","P3.2","P3.2","P3.2","4","","","",""
"original","R-4e32b07fe24b","A01","V149","PHYSBENCH-REF-0051","I3.9","I3.7","I3.9","I3.9","5","","","",""